Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"---Employing Agency Contributions, Foreign Service Retirement and Disability Fund",ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",-0.322,b,,,,-0.322
"---FOASI, Federal Employer Contributions (FICA Taxes)",ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,"Employer share, employee retirement (offbudget) (952)","FOASI, Federal Employer Contributions (FICA Taxes)",-14.103,b,,,,-14.103
"---FDI, Federal Employer Contributions (FICA Taxes)",ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,"Employer share, employee retirement (offbudget) (952)","FDI, Federal Employer Contributions (FICA Taxes)",-2.395,b,,,,-2.395
--Employee Retirement - Benefit Payments (X11),ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,Employee Retirement  Benefit Payments (X11),,0.0,g,0.0,186.3,42.6,228.9
--Employee Retirement - Withdrawals (X12),ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,Employee Retirement  Withdrawals (X12),,0.0,g,0.0,4.5,0.9,5.4
--Employee Retirement - Other Payments (Disc. 2005) (X14),ГКП "Городской перинатальный центр" на ПХВ УЗ г. Алматы;,Old age,Employee Retirement  Other Payments (Disc. 2005) (X14),,0.0,,0.0,0.0,0.0,0.0
"---Federal Contributions, FSMI Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Federal Contributions, FSMI Fund",-194.019,b,,,,-194.019
"---Premiums Collected for Medicare Prescription Drug Account, FSMI",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Premiums Collected for Medicare Prescription Drug Account, FSMI",-4.082,b,,,,-4.082
"---Payments from States, Medicare Prescription Drug Account, FSMI",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Payments from States, Medicare Prescription Drug Account, FSMI",-8.985,b,,,,-8.985
"---Basic Premium, Medicare Advantage, FSMI Trust Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Basic Premium, Medicare Advantage, FSMI Trust Fund",-0.215,b,,,,-0.215
"---Medicare Refunds, SMI",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Medicare Refunds, SMI",-4.4,b,,,,-4.4
"---Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",-0.424,b,,,,-0.424
"---Federal Contributions for Benefits, Prescription Drug Account, SMI",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Federal Contributions for Benefits, Prescription Drug Account, SMI",-56.194,b,,,,-56.194
"---Premiums Collected for the Aged, FSMI Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Premiums Collected for the Aged, FSMI Fund",-54.735,b,,,,-54.735
---Manufacturer Rebates,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Manufacturer Rebates,-5.87,b,,,,-5.87
"---Premiums Collected for the Disabled, FSMI Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Premiums Collected for the Disabled, FSMI Fund",-10.513,b,,,,-10.513
"---FHI Trust Fund, Taxation on OASDI Benefits",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Taxation on OASDI Benefits",-20.811,b,,,,-20.811
"---FHI Trust Fund, Basic Premium, Medicare Advantage",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Basic Premium, Medicare Advantage",-0.225,b,,,,-0.225
"---FHI Trust Fund, Payment from the General Fund for ТОО «Интерфарма» Fraud and Abuse Control Account",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payment from the General Fund for ТОО «Интерфарма» Fraud and Abuse Control Account",-0.134,b,,,,-0.134
"---FHI Trust Fund, Transfers from General Fund (criminal Fines)",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Transfers from General Fund (criminal Fines)",-1.126,b,,,,-1.126
"---FHI Trust Fund, Medicare Refunds",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Medicare Refunds",-5.8,b,,,,-5.8
"---FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",-0.672,b,,,,-0.672
"---FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",-3.552,b,,,,-3.552
---Payments to ТОО «Интерфарма» Trust Funds,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Payments to ТОО «Интерфарма» Trust Funds,273.401,b,,,,273.401
---Federal Supplementary Medical Insurance Trust Fund,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,3.761,b,,,,3.761
---Federal Supplementary Medical Insurance Trust Fund,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Federal Supplementary Medical Insurance Trust Fund,264.336,b,,,,264.336
---Federal Hospital Insurance Trust Fund,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,2.195,b,,,,2.195
---Federal Hospital Insurance Trust Fund,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),Federal Hospital Insurance Trust Fund,281.418,b,,,,281.418
"---Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0.399,b,,,,0.399
"---Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",75.119,b,,,,75.119
---ТОО «Интерфарма» Fraud and Abuse Control Account,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),ТОО «Интерфарма» Fraud and Abuse Control Account,0.61,b,,,,0.61
---ТОО «Интерфарма» Fraud and Abuse Control Account,ТОО «Интерфарма»,Medical service (Seniors),Medicare (571),ТОО «Интерфарма» Fraud and Abuse Control Account,0.767,b,,,,0.767
--Federal Intergovernmental - Health and Hospitals (B42),ТОО «Интерфарма»,Medical service,Federal Intergovernmental  Health and Hospitals (B42),,0.0,g,-28.2,0.0,0.0,-28.2
--Current Operations - Health - Other (E32),ТОО «Интерфарма»,Medical service,Current Operations  Health  Other (E32),,0.0,g,0.0,35.7,36.9,72.6
--Current Operations - Hospitals (E36),ТОО «Интерфарма»,Medical service,Current Operations  Hospitals (E36),,0.0,g,0.0,60.0,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),ТОО «Интерфарма»,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),,0.0,,0.0,0.0,0.0,0.0
--Construction - Health - Other (F32),ТОО «Интерфарма»,Medical service,Construction  Health  Other (F32),,0.0,g,0.0,0.9,0.5,1.4
--Construction - Hospitals (F36),ТОО «Интерфарма»,Medical service,Construction  Hospitals (F36),,0.0,g,0.0,2.2,4.0,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),ТОО «Интерфарма»,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),,0.0,,0.0,0.0,0.0,0.0
--Other Capital Outlay - Health - Other (G32),ТОО «Интерфарма»,Medical service,Other Capital Outlay  Health  Other (G32),,0.0,g,0.0,0.3,0.3,0.6
--Other Capital Outlay - Hospitals (G36),ТОО «Интерфарма»,Medical service,Other Capital Outlay  Hospitals (G36),,0.0,g,0.0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),ТОО «Интерфарма»,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),,0.0,,0.0,0.0,0.0,0.0
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.115,b,,,,0.115
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.455,b,,,,0.455
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.373,b,,,,0.373
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.132,b,,,,0.132
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.051,b,,,,0.051
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,0.947,b,,,,0.947
---Salaries and Expenses,ТОО «Интерфарма»,Public health services,Consumer and occupational health and safety (554),Salaries and Expenses,2.496,b,,,,2.496
--Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007) (B43),ТОО «Интерфарма»,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0.0,,0.0,0.0,0.0,0.0
--Current Operations - Environmental Health (NEW for 2007) (E27),ТОО «Интерфарма»,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),,0.0,,0.0,0.0,0.0,0.0
--Construction - Environmental Health (NEW for 2007) (F27),ТОО «Интерфарма»,Public health services,Construction  Environmental Health (NEW for 2007) (F27),,0.0,,0.0,0.0,0.0,0.0
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),ТОО «Интерфарма»,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),,0.0,,0.0,0.0,0.0,0.0
---Payment to the Patient-Centered Outcomes Research Trust Fund,ТОО «Интерфарма»,R&D Health,Health research and training (552),Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
"---Payment from the General Fund, Patient-Centered Outcomes Research Trust Fund",ТОО «Интерфарма»,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",-0.15,b,,,,-0.15
---Patient-Centered Outcomes Research Trust Fund,ТОО «Интерфарма»,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
---Health Resources and Services,ТОО «Интерфарма»,R&D Health,Health research and training (552),Health Resources and Services,0.569,b,,,,0.569
---Health Resources and Services,ТОО «Интерфарма»,R&D Health,Health research and training (552),Health Resources and Services,0.144,b,,,,0.144
---CDC-Wide Activities and Program Support,ТОО «Интерфарма»,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.194,b,,,,0.194
---CDC-Wide Activities and Program Support,ТОО «Интерфарма»,R&D Health,Health research and training (552),CDCWide Activities and Program Support,-0.201,b,,,,-0.201
---CDC-Wide Activities and Program Support,ТОО «Интерфарма»,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0.712,b,,,,0.712
---National Institutes of Health,ТОО «Интерфарма»,R&D Health,Health research and training (552),National Institutes of Health,30.314,b,,,,30.314
---National Institutes of Health,ТОО «Интерфарма»,R&D Health,Health research and training (552),National Institutes of Health,0.167,b,,,,0.167
---Healthcare Research and Quality,ТОО «Интерфарма»,R&D Health,Health research and training (552),Healthcare Research and Quality,0.138,b,,,,0.138
---Transfers from the Patient-Centered Outcomes Research Trust Fund,ТОО «Интерфарма»,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,-0.051,b,,,,-0.051
-- (553),ТОО «Интерфарма»,R&D Health,-553,,0.0,,0.0,0.0,0.0,0.0
-Health n.e.c.,ТОО «Интерфарма»,Health n.e.c.,,,0.0,,0.0,0.0,0.0,0.0
---Supplemental Payments to UMWA Health Plans,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175
---Abandoned Mine Reclamation Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
---Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189
---Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2
---Department of Defense Medicare-Eligible Retiree ТОО «Интерфарма» Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Department of Defense MedicareEligible Retiree ТОО «Интерфарма» Fund,9.727,b,,,,9.727
---Biodefense Countermeasures,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Biodefense Countermeasures,0.282,b,,,,0.282
"---Government Payment for Annuitants, Employees Health Benefits",ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97
---Postal Service Retiree Health Benefits Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912
---Employees and Retired Employees Health Benefits Funds,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Employees and Retired Employees Health Benefits Funds,-0.059,b,,,,-0.059
---United Mine Workers of America 1992 Benefit Plan,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068
---Transfers from Abandoned Mine Reclamation Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Transfers from Abandoned Mine Reclamation Fund,-0.056,b,,,,-0.056
---Federal Payment to United Mine Workers of America Combined Benefit Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,-0.175,b,,,,-0.175
---United Mine Workers of America Combined Benefit Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134
---United Mine Workers of America 1993 Benefit Plan,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061
"---Maternal, Infant, and Early Childhood Home Visiting Programs",ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359
---Health Resources and Services,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Health Resources and Services,2.463,b,,,,2.463
---Health Resources and Services,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Health Resources and Services,3.181,b,,,,3.181
---Health Resources and Services,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Health Resources and Services,1.679,b,,,,1.679
---Vaccine Injury Compensation Program Trust Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242
---Indian Health Services,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Indian Health Services,4.161,b,,,,4.161
---Indian Health Services,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Indian Health Services,0.156,b,,,,0.156
---Indian Health Facilities,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Indian Health Facilities,0.397,b,,,,0.397
---CDC-Wide Activities and Program Support,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),CDCWide Activities and Program Support,1.936,b,,,,1.936
---CDC-Wide Activities and Program Support,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),CDCWide Activities and Program Support,3.458,b,,,,3.458
"---Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077
---World Trade Center Health Program Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),World Trade Center Health Program Fund,0.161,b,,,,0.161
---Susbstance Abuse and Mental Health Services Administration,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965
---Susbstance Abuse and Mental Health Services Administration,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343
---Susbstance Abuse and Mental Health Services Administration,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097
---Rate Review Grants,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Rate Review Grants,0.08,b,,,,0.08
---Pre-Existing Condition Insurance Plan Program,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055
---Affordable Insurance Exchange Grants,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Affordable Insurance Exchange Grants,1.087,b,,,,1.087
---Consumer Operated and Oriented Plan Program Account,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803
---Program Management,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Program Management,0.468,b,,,,0.468
---Grants to States for Medicaid,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Grants to States for Medicaid,282.819,b,,,,282.819
---Children's Health Insurance Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Children's Health Insurance Fund,10.027,b,,,,10.027
---State Grants and Demonstrations,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),State Grants and Demonstrations,0.474,b,,,,0.474
---Center for Medicare and Medicaid Innovation,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09
---Child Enrollment Contingency Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Child Enrollment Contingency Fund,0.2,b,,,,0.2
---Health Insurance Reform Implementation Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Health Insurance Reform Implementation Fund,0.344,b,,,,0.344
---Office of the National Coordinator for Health Information Technology,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418
---Public Health and Social Services Emergency Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Public Health and Social Services Emergency Fund,0.374,b,,,,0.374
---Public Health and Social Services Emergency Fund,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Public Health and Social Services Emergency Fund,1.507,b,,,,1.507
---General Departmental Management,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),General Departmental Management,0.426,b,,,,0.426
---Retirement Pay and Medical Benefits for Commissioned Officers,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,,,,0.526
---Miscellaneous Trust Funds,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Miscellaneous Trust Funds,0.069,b,,,,0.069
---Office of the Inspector General,ТОО «Интерфарма»,Vendor Payments (Welfare),ТОО «Интерфарма» services (551),Office of the Inspector General,0.057,b,,,,0.057
--Federal Intergovernmental - Public Welfare (B79),ТОО «Интерфарма»,Vendor Payments (Welfare),Federal Intergovernmental  Public Welfare (B79),,0.0,g,-337.8,0.0,0.0,-337.8
